source_file,reject_reason,metadata
"10. LDR Bed (Labor, Delibery, Recovery).docx",Duplicate content,"{""source_file_path"": ""C:\\Projects\\NIC_MedSearch\\technical_specification\\10. LDR Bed (Labor, Delibery, Recovery).docx"", ""title"": """", ""author"": ""Shin Seok Yeong"", ""created"": ""2026-02-02 05:15:00+00:00"", ""modified"": ""2026-03-19 09:57:00+00:00"", ""revision"": 45}"
11. Ultrasound (Labor Room).docx,Duplicate content,"{""source_file_path"": ""C:\\Projects\\NIC_MedSearch\\technical_specification\\11. Ultrasound (Labor Room).docx"", ""title"": """", ""author"": ""Shin Seok Yeong"", ""created"": ""2026-02-12 15:19:00+00:00"", ""modified"": ""2026-03-04 04:50:00+00:00"", ""revision"": 19}"
12. NIBP Monitor.docx,Duplicate content,"{""source_file_path"": ""C:\\Projects\\NIC_MedSearch\\technical_specification\\12. NIBP Monitor.docx"", ""title"": """", ""author"": ""Shin Seok Yeong"", ""created"": ""2026-02-02 04:30:00+00:00"", ""modified"": ""2026-03-20 02:43:00+00:00"", ""revision"": 66}"
13. Neonatal Bubble CPAP System.docx,Duplicate content,"{""source_file_path"": ""C:\\Projects\\NIC_MedSearch\\technical_specification\\13. Neonatal Bubble CPAP System.docx"", ""title"": """", ""author"": ""Shin Seok Yeong"", ""created"": ""2026-02-02 05:51:00+00:00"", ""modified"": ""2026-03-20 02:49:00+00:00"", ""revision"": 63}"
14. Ventilator (HFO+CMV).docx,Duplicate content,"{""source_file_path"": ""C:\\Projects\\NIC_MedSearch\\technical_specification\\14. Ventilator (HFO+CMV).docx"", ""title"": """", ""author"": ""Shin Seok Yeong"", ""created"": ""2026-02-02 06:06:00+00:00"", ""modified"": ""2026-03-03 15:10:00+00:00"", ""revision"": 53}"
15. Operating Light.docx,Duplicate content,"{""source_file_path"": ""C:\\Projects\\NIC_MedSearch\\technical_specification\\15. Operating Light.docx"", ""title"": """", ""author"": ""Shin Seok Yeong"", ""created"": ""2026-02-02 06:17:00+00:00"", ""modified"": ""2026-03-13 10:54:00+00:00"", ""revision"": 46}"
16. Anesthesia Machine.docx,Duplicate content,"{""source_file_path"": ""C:\\Projects\\NIC_MedSearch\\technical_specification\\16. Anesthesia Machine.docx"", ""title"": """", ""author"": ""Shin Seok Yeong"", ""created"": ""2026-02-02 06:32:00+00:00"", ""modified"": ""2026-03-04 04:57:00+00:00"", ""revision"": 55}"
17. Patient Monitor (OT) .docx,Duplicate content,"{""source_file_path"": ""C:\\Projects\\NIC_MedSearch\\technical_specification\\17. Patient Monitor (OT) .docx"", ""title"": """", ""author"": ""Shin Seok Yeong"", ""created"": ""2026-03-09 11:04:00+00:00"", ""modified"": ""2026-03-20 02:56:00+00:00"", ""revision"": 6}"
18. Electro Surgical Unit (OT).docx,Duplicate content,"{""source_file_path"": ""C:\\Projects\\NIC_MedSearch\\technical_specification\\18. Electro Surgical Unit (OT).docx"", ""title"": """", ""author"": ""Shin Seok Yeong"", ""created"": ""2026-02-02 07:31:00+00:00"", ""modified"": ""2026-03-20 02:59:00+00:00"", ""revision"": 56}"
19. Sterilizer Steam_Including Steamer and RO.docx,Duplicate content,"{""source_file_path"": ""C:\\Projects\\NIC_MedSearch\\technical_specification\\19. Sterilizer Steam_Including Steamer and RO.docx"", ""title"": """", ""author"": ""Shin Seok Yeong"", ""created"": ""2026-02-02 08:24:00+00:00"", ""modified"": ""2026-03-04 04:44:00+00:00"", ""revision"": 92}"
