Equipment Description,Model,Problem,Initial Diagnosis,Work Done
,,The Three-way syringe of the dental treatment unit has only air supply the water supply is not functioning,The three way syringe has air flowing but no water.,"The water supply tube was traced, and the block was identified and blockage from tubes were removed."
,STP120,Device not heating,Inspected and found out the device heater wire not in place.,The Heater wire was discontinuous and was fixed. The sensor was also attached firmly
,CHS,The 100x objective lens does not show clear image,The lens was diry from within the objective lens frame.,Cleaned and oiled the microscope arms and the lenses
Cabinet Heating,FWC340,Machine continues beep alarm.&nbsp;,Found to be problem with the controller.,"It was observed that the lower temperature set point was not configured correctly, and one of the connections was not secured in its designated position. After properly setting the temperature and securing the connection, the machine resumed normal operation and is functioning as expected"
General Adult/Pediatric,AVEA,Leak test failed and no touch screen.,"The ventilator was in a non-functional state,&nbsp; Leak test failed, and was no touchscreen.",
,C-1,The device did not weld the metal wires.,Upon inspection the welding platform was unstable.,"The Welding platform was adjusted, and the device functionality was restored."
Biphasic,Defigard 400,The device did not print. System Check not passing,The printer tray and housing were not aligned properly. The device does not have battery backup,The Printer-Tray bracket was aligned. The paddle connections were restored. The device is in charging state
,FORNAX T,The Dental Casting furnace not heating.,"Upon inspetion the dental casting furnace was not heating up, The wires were not aligned and connected properly",he wires were aligned and the device was rewired.
,EN-S7 Smart,The device not turning on.,he device not turning on due to damaged power supply wires.,"The power supply port was replaced, and the wires were soldered to the power supply port."
General Adult/Pediatric,AVEA,Leak Test Failed,Ventilator was non-functional.,"The Leak test failed multiple times, Leakage from the Expiratory was sealed and performed leak test. Leak test was passed and made the machine functional.&nbsp;"
,SYS-50,The device did not start up,The device did not start when power supply was given. Inspeted and found out the 2A board fuse was blown.,The power supply board was inspected and the damaged capacitor along with the fuse was replaced
Portable,TUS-A400,Gain Knob non fucntional in IScan mode,"Upon inspection, we found that the gain knob was non-functional in IScan Mode.","We cleaned the display board, gain knob was cleaned properly and found no issue within the board and knob. The keyboard was reassembled properly. The machine was powered on following the issue, but the problem remained unsolved."
General Adult/Pediatric,Savina,Internal battery not connected and expiratory flow sensor &nbsp;damage.&nbsp;,"System indicates battery not connected alarm, found that expiratory flow sensor was broken and o2 cell need replacement.&nbsp;","It was found that the internal battery required replacement. The O₂ calibration was successfully performed. However, the O₂ supply pressure was insufficient, which prevented the system from displaying accurate data above 50% FiO₂. It was also determined that the expiratory flow sensor was damaged and needed to be replaced.&nbsp;"
Actuation,GA750,test problem,,
,0634B-CTO-501,The device does not pass the self-test during the startup process.&nbsp;,Found that air hose was connected which allows water to enter through the hose to internal circuit.&nbsp;,"Upon inspection, it was found that the machine failed the flow sensor test. It was discovered that an air hose was connected to the system, allowing water to enter through the hose. This prevented the flow sensor from passing the test. After thoroughly cleaning all the tubing, consulting with the vendor, and performing the flow meter zeroing and flow calibration tests, the device is now fully functional.&nbsp;"
Ortho,SISJM-127,Machine was nonfunctional.,Machine was non functional due to the foot switch.,"It was determined that the issue originated from the foot switch, where one of the wires connecting it to the wall AC supply was found to be broken. After replacing the damaged wire with a new one and securing the connection properly, the machine resumed normal operation and is now functioning correctly."
12 channel,PB216,Machine was non-functional.,The ECG machine was experiencing a printing malfunction.&nbsp;,"The issue was resolved by adjusting the device settings. Additionally, the staff was provided with operational training related&nbsp;to&nbsp;the&nbsp;issue."
Biphasic,DEFIGARD 400 360 J,Operational Issue.&nbsp;,Operational Issue.&nbsp;,"Upon request from the Incharge,operational training&nbsp;was&nbsp;provided."
7 Parameters Bedside,H9,The monitor mounted plate was instable.,The monitor mounted plate was instable.,"Upon inspection, it was found that the mounting plate supporting the monitor lacked screws, causing instability and resulting in the monitor falling. To mitigate the risk and ensure continuous patient care, the mounting plate was secured and properly&nbsp;adjusted."
Electric,ARCUS 501,Remote of the system doesn’t work.&nbsp;&nbsp;,Remote of the system doesn’t work.&nbsp;&nbsp;,"It was found that the remote wasn’t making proper contact with the keypad. After cleaning the contact pins, the system started working properly. The issue was caused&nbsp;by&nbsp;water&nbsp;damage."
General Adult/Pediatric,VG70,&nbsp; The machine was reported as non-functional due to failed O₂ and flow sensor calibrations.&nbsp;,&nbsp; The machine was reported as non-functional due to failed O₂ and flow sensor calibrations.&nbsp;,"Upon inspection, it was found that the O₂ sensor needed replacement, while the flow sensor membrane was dirty and required cleaning. After replacing the O₂ sensor and cleaning the flow sensor, both calibrations were successfully completed, and the ventilator passed the pre-use test, confirming it is now functioning&nbsp;properly."
Portable,,Suction Machine was non-fuctional.,Suction Machine was non-functional.,"Upon inspection, it was found that the flow controller was not working due to a crushed pipe, which was obstructing the airflow.The issue has been resolved ensuring the machine is operating&nbsp;smoothly."
12 channel,CM1200A,&nbsp;Machine was reported to have printing issue.,&nbsp;Machine was reported to have printing issue.,The issue was resolved by adjusting the print source option in settings ensuring the machine is operating&nbsp;smoothly.
General Adult/Pediatric,AVEA,The machine was reported to have low FiO2 alarm.&nbsp;,&nbsp;Machine was reported to have low FiO2 alarm.&nbsp;,The issue has been resolved by changing oygen cell and comprehensive tests has been successfully passed ensuring that the machine is operating smoothly and&nbsp;is&nbsp;safe&nbsp;to&nbsp;use.
General Adult/Pediatric,AVEA,Machine was reported to be non-functional.,Machine was non-functional.,"&nbsp;Upon inspection , it was found to have Circuit disconnect alarm. The issue has been resolved and comprehensive tests has been successfully passed ensuring that the machine is operating smoothly and&nbsp;is&nbsp;safe&nbsp;to&nbsp;use."
,,The device did not deliver mist,The device did not deliver mist with unusual sound from compressor,"The compressor was aligned to the rubber pads and the device, tubing and motor were cleaned restoring the equipment functionality.&amp;nbsp;"
5 Parameters Bedside,H9,ecg&nbsp;,ECG wave was not displayed on the monitor.,After adjusting the settings issue has been resolved and the machine is working smoothly.
General Adult/Pediatric,Crius V6,Machine was reported to be non-functional.,Machine was reported to be non-functional.,The comprehensive tests were performed ensuring that the ventilator is now fully functional&nbsp;to&nbsp;use.
,LMD-2735MD,monitor&nbsp;,Had issue with monitor arm.,After fixing the monitor screw securely the issue has been resolved.
Electric,,headrest.,The Mayfield horseshoe headrest was reported to be non-functional.,"Upon inspection, it was found that the mounting support was loose, which compromised the stability of the headrest.The support was subsequently tightened, securely fixing the headrest in place."
,AMBING-12,power supply.,Power supply cord was damaged.,"Upon inspection, power supply cord was fixed properly, and the machine is operating smoothly."
General Adult/Pediatric,AVEA,Low FiO2 alarm.,Low FiO2 alarm.,The issue has been resolved after changing O2 sensor and comprehensive testing confirmed that the machine is working smoothly.
7 Parameters Bedside,H9,NIBP connector issue.,Reported to have NIBP issue.,"Upon inspection, NIBP connector was loose causing air pressure error. The connector was fixed properly resolving the issue."
,PRISMA 450,leak test,Leak Test Failed.,"It was found that the leak was through the bellows. After adjusting the bellow, the leak test ensuring the machine is operating smoothly."
5 Parameters Bedside,INFINITY DELTA,asystole,Monitor was showing asystole alarm.,The problem was inspected and found that there was an issue with ECG cable. The problem had been resolved by cleaning the ecg leads and connecting the connector properly.
,,issue,Connector wire was damaged.,The damaged wire connector was fixed and the machine is working properly.
,,O2 sensor,Reported to have low FiO2 and pressure monitoring channel failure alarm.,"Upon inspection, the O2 sensor was expired. The expired O2sensor was replaced and performed it's calibration test.After doing so the FiO2 and pressure monitoring channel failure alarm was resolved.Other comprehensive tests were conducted ensuring the machine is fully functional to use."
General Adult/Pediatric,AVEA,LOW FIO2,Low FiO2.,"Upon inspection, it was found that the O2 sensor was expired which was then replaced with the new one.After replacing the O2 sensor the comprehensive test was performed ensuring the machine is working smoothly."
,,Flow sensor calibration.,Flow sensor failure,After calibrating the flow sensor the error has been rectified and the machine is working properly.
Electric,Sim Move 800,Battery,Reported to be non-functional.&nbsp;,"Upon thorough inspection,it was identified that the battery had not been charged, which resulted in the system becoming completely unresponsive.The table was not operating through either the remote control or the onboard display panel due to the lack of power supply. After ensuring the battery was properly charged and the system was reset,the issue was resolved successfully.&nbsp;"
General Adult/Pediatric,VG70,O2 sensor,O2 sensor was expired .,The sensor was replaced and comprehensive tests was performed successfully ensuring the machine is operating smoothly.
General Adult/Pediatric,VG70,LEAK TEST,Reported to have leakage test failure.,The issue has been resolved by changing the patient circuit and comprehensive tests were performed ensuring the machine is operating smoothly.
General Adult/Pediatric,AVEA,O2 sensor,The O2 sensor was expired.,The sensor was replaced and comprehensive tests were conducted ensuring the machine is operating.
5 Parameters Bedside,C80,NIBP was not measuring the BP.,NIBP was not measuring the BP.,"After adjusting the settings and BP cuff properly, the issue has been resolved and working properly."
General Adult/Pediatric,AVEA,o2 calibration,Reported to have an O2 calibration failure.,Replaced the O2 sensor. After comprehensive test it was confirmed that the machine is functioning smoothly.
7 Parameters Bedside,C80,NIBP,Reported to have an issue with inaccurate parameters.,"After Pre-testing all parameters including ECG, SpO2, NIBP and temperature, It was ensured that the machine is working properly and smoothly."
General Adult/Pediatric,AVEA,Leakage.,Reported to have leakage issue.,"Upon inspection, it was found that the leakage was from the patient circuit. The faulty circuit was replaced, and thorough testing was conducted to verify the system's performance. The ventilator is nor operating normally and fully functional."
7 Parameters Bedside,c80,Parameter.,Reported to have an issue with ECG parameter.,"Upon inspection, it was found that the ECG connector had been improperly connected, resulting in the absence of an ECG waveform display. After correcting the connection, the issue was resolved, and the monitor is now functioning properly."
Xenon,XL-4450,hdmi,Endoscopy monitor was reported to have an issue in video signal.,"Upon inspection, it was found that the issue was due to lose HDMI connection.The problem is resolved, and the system is working properly."
General,R-8C PLUS,ALARM,1bAL alarm was displayed.,"Upon inspection, the alarm was due to imbalance in the rotor, which can occur due to uneven sample loading or improper placement of tubes. After addressing the imbalance issue, the machine was tested and is now functioning properly without any alarms."
5 Parameters Bedside,H9,issue,Monitor was not powering on.,"Upon inspection, it was found that water had leaked into the port area, causing a short circuit that blew the internal fuse and prevented the device from powering on. The damaged fuse was replaced, and all monitoring parameters were thoroughly tested. After the repair, the patient monitor is now functioning smoothly and ready for use."
General Adult/Pediatric,VG70,issue,Issue with the oxygen pipe port connector.,"Upon inspection, it was found that the oxygen pipe port connector was damaged and had become loose, resulting in an unstable connection. The connector was properly secured and repaired to ensure a firm fit. After the correction, the ventilator is now functioning normally."
Cabinet Heating,FWK340,issue,&nbsp;Loud and disturbing noise during operation.,"Upon inspection, it was found that the noise was originating from the motor due to a deformed and imbalanced fan along with rust on the bearing and shaft. The fan was realigned to its correct position, and the motor components were thoroughly lubricated. After performing these corrective actions, the machine was tested, and the noise issue was completely resolved."
5 Parameters Bedside,C80,issue,"NIBP function was not measuring pressure, showing an air leak error.","Upon inspection, it was found that the monitor's NIBP function was unable to measure blood pressure due to an air leak error. Further investigation revealed that the issue was caused by a damaged lock connector on the NIBP cable, leading to air leakage. The faulty cable was replaced with a new one, and the monitor was thoroughly tested to ensure all functions were operating correctly. The problem has now been resolved."
5 Parameters Bedside,H9,issue,Reported to have parameters issue.,All the parameters settings had been checked and tested properly ensuring the monitor is now functioning smoothly and is ready to use.
,MT3,Machine was not functioning.,The machine was reported to ne non-functional.,"Upon inspection, it was found that the machine was not receiving any water supply, which is essential for its operation. The issue was resolved by opening the water supply valve. After restoring the water flow, the model trimmer is now functioning properly."
,,issue,Air leakage issue.,"Upon inspection, it was found that the leakage was caused by a loosened pipe that was unable to withstand the air pressure. The pipe was properly tightened to ensure a secure connection. After the correction, the dental chair is now operating smoothly without any leakage."
General Adult/Pediatric,AVEA,issue,Ventilator was not functioning due to circuit occlusion.,"Upon inspection, a circuit occlusion was identified as the cause of the malfunction. The issue was resolved by thoroughly cleaning the expiratory valve filter. After cleaning, comprehensive testing was performed to verify proper functionality. The ventilator is now operating smoothly."
,Benefusion VP3,issue,Device was reported to be non-functional due to a broken door.,"Upon inspection, it was found that the infusion pump was not operating because of a damaged door mechanism. The broken door was replaced using a compatible part from another non-functional infusion pump. After proper installation and alignment, the device was thoroughly tested to confirm functionality. The infusion pump is now operating correctly."
7 Parameters Bedside,Infinity Delta XL,issue,Monitor was not displaying the arterial line.,"Upon inspection, it was found that the arterial line was not appearing on the monitor. Further investigation revealed that the issue was caused by an improper connection of the transducer cable. The cable was reconnected properly, and the monitor was thoroughly tested to ensure all parameters were functioning correctly. The issue has been resolved, and the monitor is now operating normally."
Ultrasonic/Harmonic with Pressure,SONOCA 300,issue,Error displayed during power-on.,"The Söring Sonoca 300 was reported to be showing an error upon startup and was not functioning as expected. Upon inspection, it was determined that the issue could be resolved by initiating the machine's self-test mode. The self-test was successfully performed, which cleared the error and restored normal operation. After completing the test and verifying all functions, the machine is now operating properly."
,,dental,Device was non-functional.,"Upon inspection, it was found that the micromotor was not operating due to a faulty capacitor and switch. Both components were replaced with new ones, restoring power to the device. Additionally, the handpiece was found to be rusty, which was affecting its performance. The handpiece was thoroughly cleaned and properly lubricated, allowing the motor to function smoothly. After testing, the micromotor is now operating as expected."
General Adult/Pediatric,Crius V6,issue,Ventilator was reported to be non-functional.,"Upon inspection, it was found that the monitor mount plate was damaged and the screws were loose, causing instability. The mount plate was repaired and all screws were properly tightened. In addition, a comprehensive leak test and full system check were performed to verify operational safety and performance. The ventilator is now functioning smoothly."
12 channel,CM1200A,print,Unable to print ECG waveforms on paper.,"Upon inspection, it was found that the ECG machine could not print the waveforms due to incorrect placement of the printing paper. The paper was repositioned correctly, and the necessary settings were adjusted. After these corrections, the machine was tested and confirmed to be printing properly."
,,issue,"&nbsp;Hand controller was not responding (Up, Down, Head Tilt functions).","Upon inspection, it was found that the hand controller was non-functional because the foot switch was stuck under the chair, preventing normal operation. The foot switch was freed by disconnecting the foot connector, which restored functionality to the hand controller. After testing, all functions were confirmed to be working properly, and the issue has been resolved."
General,force-fx,issue,Machine was not functioning and displayed ERROR 198.,"Upon inspection, it was determined that the error was caused by a stuck hand switch or foot switch. The hand switch and foot switch connectors were reset, restoring normal operation. After testing, the cautery machine was confirmed to be functioning properly."
,TC-201,issue,Fluctuating power issue due to loose AC connector.&nbsp;,The connector was fixed properly ensuring that the machine is operating smoothly.
