Equipment Description,Manufacturer,Model,Problem ,Work Done 
CTG,OSEN Technology,OSEN9000E,Main Menu appeared in the screen and CTG device did not print,Inspected and found oit the encoder to be faulty. Aligned the encoder and solved the issue
Hydro Extractor,Ramsons ,,Motor not working ,Checked the system and electrical parts 
Endoscope ,Olympus ,,Lamp light dim ,"Checked the system, current, voltage "
Ventilator,Philips ,Trilogy Evo,External flow sensor failed ,Checked the system and calibrated 
Ventilator,Philips ,,Low Tidal volume ,Checked and calibrated the system 
Ventilator,Hamilton ,,02 sensor replacement and battery replacement ,Checked and calibrated the system 
Dental Compressor ,Dynamic Industries ,DA7001,Compressor does not cut in upper pressure limit ,Set the upper pressure cut limit 
X-Ray Machine,Aditya Medical ,AMS 6010-E/IX70,Oil leakage and guide cone loosen ,Sealed the leakages and fixed the guide 
Phototherapy,Neotech ,,Side panels broken of 2 pieces ,Fixed the broken locks at side panels 
Infant Radiant Warmer,Shreeyash ,,Spring broken at side panels of 5 pieces Warmer bed. ,Repaired 
OT Light,Senmars  Healthcare ,,Yellow color light not glowing ,Main control board was repaired 
Hydro Extractor,Ramsons ,RDD,Device turns on when setting the timer and does not brake ,MCB and other electrical circuit checked 
Gauge Cutter,,,Sharpener push mechanism handle loose ,Fixed loosed parts 
View Box,,,Not glowing ,Fixed 3pieces of light with it's electrical connection 
Needle Destroyer ,,,Not working ,3pin top changed 
ECG Machine,Philips ,PageWriter TC20,Cable Connector and lead issues ,Repaired and user guidance 
Sphygmomanometer,,,"Gauze meter, leakage and  inflation bulb issue ",Repaired 8 pieces in total
Mattress Inflator,,,Does not turn on ,Power reestablished (2 piece) 
USG Machine,Mindray ,Z6,Keypad not responsive ,Serviced the keypad 
Central Monitoring System,Philips ,,Display driver not functioning ,Serviced processing unit 
Freezer,Haier,,Clogged drain causing water overflow,Fixed the clogged drain
C-Arm Machine,Siemens ,Multi Mobil 4c,Extended wires ,Fixed the wires 
CTG,Osen Technology ,Osen9000E,CTG didn't print the report ,Fixed the encoder 
Patient Monitor,Philips,Intellivue MP20,Device doesn't turn ON ,Repaired internal power supply unit
OT Light,,,One dome not turning on,Disassemble the dome and fixed the loose connection 
ECG Machine,Philips,Page writer TC20,ECG interpretation faulty,"Disabled ECG interpretation, analysis"
X-Ray Machine,Allengers,Mars 40,Collimator light does not turns on,Inspected and repaired the blown pcb
Ventilator,Hamilton,C3,"Calibration didn't pass
And alarms for limited inspiration volume was showing",Adjusted alarms and performed pre operational tests
ECG Machine,Nihon kohden ,,Not printing ,Fixed the printer 
ECG Machine,,ECG MAC ,Not printing ,found Paper expired and recommended for paper change
Defibrillator,Mindray ,,Cross indicator ,Performed user test 
Infant Radiant Warmer,,,No power on,"found switch to be faulty, and Neutral wires were not connected properly "
Infant Radiant Warmer,Shreeyash ,,No continuous power on,Found fuse connector loose and fixed the fuse. 
Patient Monitor,Philips,Intellivue MP20,Uninstalled,Installed
Bubble CPAP,,Resmed,Flow was not delivered ,Operational training provided 
Electrosurgical Unit,,,Patient plate Broken Wire ,Wire fixation performed
Infant Radiant Warmer,Shreeyash,,Control Panel Power Issue,"Rewired the power supply unit
Faulty switch was repalced too"
Electrosurgical Unit,MEDILAB,250,Patient plate wire broken,Soldering of the wire performed
Nebulizer,Niscomed,NB-117,Equipment did not turn on,The broken power supply wires were fixed
Nebulizer,Niscomed,NB-117,Equipment did not turn on,The broken power supply wires were restored
Blood Gas Analyzer,EDAN,i15,Cartridge not qualified,Ran a standard test
Ventilator,Hamilton,C3,"Test not passed, no humidifer",All test passed and humidifier connected
Ventilator,Hamilton ,C3,Tests not passed,Tests passed successfully 
Bubble CPAP,Resmed,,Need operational verification before use,Performed pre operational tests
Bubble CPAP,Resmed,,Need operational verification before use,Performed pre operational tests 
Bubble CPAP,ResMed,,Need operational verification before use ,Performed pre operational tests 
Ventilator,Hamilton ,C3,Tests not passed ,"Tightness and flow sensor tests passed, O2  cell twst failed"
Blood Gas Analyzer,EDAN,i15,Na and Cl electrolyte result not shown,Calibrant fluid pack replaced
Weighing Balance,,,Power switch not working properly,switch replaced
Infant Radiant Warmer,,,loose wire connection,Wire connected properly 
Infusion Pump,,,Pressure High,Settings and general maintenance done
Ventilator,Mindray,,Set and delivered O2 confusion,User guidance provided
BIPAP,,,Setting issue,Inspection and ran a check
USG Machine,,,Transducer not working,"Inspection, testing and transducer repaired"
USG Machine,Krishjay Physio,,The transducer didnot give off ultrasonic energy,Rewired the Transducer
Chest Vibrator,,,Device did not function,"Inspected and found power board faulty
Replaced the faulty component and tested to be functional."
Laryngoscope,,,Bulb missing,Bulb installed
Patient Bed,,,Safety bar screw missing,Safety bar screw nut managed and fixed
ECG Machine,Philips,PageWriter TC20,No proper waves shown,Inspection and guidance provided
Electrolyte Analyzer,Jokoh,EX-D,Na Drift Issue,Figured out the need to change Na electrode 
Coulter Counter,Nihon Kohden,Celltac-G,Leakage Issue,Checked and loose tube reconnected
Bubble CPAP,,,Leakage from Flowmeter,Fixed the knob
Ventilator,MINDRAY ,,Tidal Volume mismatch and circuit resistance high,Tubing sealed and humidifier maintained
Electrolyte Analyzer,Jokoh,EX-D,Na drift issue,Na electrode changed
Electrolyte Analyzer,Jokoh,EX-D,Bent Sampling Needle,Inspection and figured out the need to change sampling needle
Coulter Counter,Nihon Kohden,Celltac G,Found detergent pipeline bitten by mouse,Pipeline changed 
ECG Machine,Philips,PageWriter TC20,Waves not shown,"Inspection,  testing and guidance "
Infant Radiant Warmer,Shreeyash ,,Loose controller section,Fixed
X-Ray Machine,Allengers,,Collimator light not working,Burnt wire near collimator bulb fixed
Electrolyte Analyzer,Jokoh,EX-D,Bent sampling needle ,Replaced sampling needle 
USG Machine,,,Transducer not functioning,Rewired the transducer and tested the device to be fully functional
Patient Bed,Tmotion,NA,The hydraulics didnot work,Tightned the power supply wirings
Ventilator,Hamilton ,C1,PreOp tests fail,Successful PreOp tests performed
Ventilator,Hamilton ,C1,PreOp tests fail,Diaphragm cleansed and Successful PreOp tests performed 
